ID,Celebrity,Profession,Subscribers,Videos
1,Will Smith,actor,7.9M,96
2,Dwayne Johnson,actor,4.92M,199
3,Ryan Reynolds,actor,1.87M,62
4,Jack Black,actor,4.53M,53
5,Gordon Ramsay ,chef,13.1M,854
6,Shay Mitchell,actor,4.26M,213
7,Madelaine Petsch,actor,5.22M,102
8,Zac Efron,actor,1.21M,16
9,Kylie Jenner,entrepreneur,7.92M,123
10,Romee Strijd,model ,1.37M,78
11,Tia Mowry,actor,700K,121
12,Victoria Beckham,fashion designer,128K,93
13,Mackenzie Ziegler,dancer,3.44M,137
14,Karlie Kloss,model ,787K,154
15,Felicia Day,actor,234K,215
16,Ayesha Curry,cook,578K,82
17,Kevin Durant,basketball player,794K,104
18,Russell Brand,actor,2.18M,"1,109"
19,Shenae Grimes,actor,94K,114
20,"Nicole ""Snooki"" Polizzi",TV personality,970K,389
